,Accession,Geo_Location,s-gene_location,gene_length,protein_id,protein_length
62,MT444575,USA,[21551:25373](+),3822.0,QJQ83356.1,1273.0
63,MT444576,USA,[21514:25336](+),3822.0,QJQ83368.1,1273.0
64,MT444577,USA,[21552:25374](+),3822.0,QJQ83380.1,1273.0
65,MT444578,USA,[21557:25379](+),3822.0,QJQ83392.1,1273.0
66,MT444579,USA,[21512:25334](+),3822.0,QJQ83404.1,1273.0
67,MT444580,USA,[21522:25344](+),3822.0,QJQ83416.1,1273.0
68,MT444581,USA,[21554:25376](+),3822.0,QJQ83428.1,1273.0
69,MT444582,USA,[21522:25344](+),3822.0,QJQ83440.1,1273.0
70,MT444583,USA,[21523:25345](+),3822.0,QJQ83452.1,1273.0
71,MT444584,USA,[21540:25362](+),3822.0,QJQ83464.1,1273.0
72,MT444585,USA,[21520:25342](+),3822.0,QJQ83476.1,1273.0
73,MT444586,USA,[21550:25372](+),3822.0,QJQ83488.1,1273.0
74,MT444587,USA,[21522:25344](+),3822.0,QJQ83500.1,1273.0
75,MT444588,USA,[21523:25345](+),3822.0,QJQ83512.1,1273.0
76,MT444589,USA,[21545:25367](+),3822.0,QJQ83524.1,1273.0
77,MT444590,USA,[21560:25382](+),3822.0,QJQ83536.1,1273.0
78,MT444591,USA,[21517:25339](+),3822.0,QJQ83548.1,1273.0
79,MT444592,USA,[21551:25373](+),3822.0,QJQ83560.1,1273.0
80,MT444593,USA,[21522:25344](+),3822.0,QJQ83572.1,1273.0
81,MT444594,USA,[21522:25344](+),3822.0,QJQ83584.1,1273.0
82,MT444595,USA,[21520:25342](+),3822.0,QJQ83596.1,1273.0
83,MT444596,USA,[21522:25344](+),3822.0,QJQ83608.1,1273.0
84,MT444597,USA,[21551:25373](+),3822.0,QJQ83620.1,1273.0
85,MT444598,USA,[21557:25379](+),3822.0,QJQ83632.1,1273.0
86,MT444599,USA,[21526:25348](+),3822.0,QJQ83644.1,1273.0
87,MT444600,USA,[21556:25378](+),3822.0,QJQ83656.1,1273.0
88,MT444601,USA,[21522:25344](+),3822.0,QJQ83668.1,1273.0
89,MT444602,USA,[21523:25345](+),3822.0,QJQ83680.1,1273.0
90,MT444603,USA,[21522:25344](+),3822.0,QJQ83692.1,1273.0
91,MT444604,USA,[21522:25344](+),3822.0,QJQ83704.1,1273.0
92,MT444605,USA,[21558:25380](+),3822.0,QJQ83716.1,1273.0
93,MT444606,USA,[21523:25345](+),3822.0,QJQ83728.1,1273.0
94,MT444607,USA,[21558:25380](+),3822.0,QJQ83740.1,1273.0
95,MT444608,USA,[21522:25344](+),3822.0,QJQ83752.1,1273.0
96,MT444609,USA,[21526:25348](+),3822.0,QJQ83764.1,1273.0
97,MT444610,USA,[21522:25344](+),3822.0,QJQ83776.1,1273.0
98,MT444611,USA,[21514:25336](+),3822.0,QJQ83788.1,1273.0
99,MT444612,USA,[21552:25374](+),3822.0,QJQ83800.1,1273.0
100,MT444613,USA,[21523:25345](+),3822.0,QJQ83812.1,1273.0
101,MT444614,USA,[21523:25345](+),3822.0,QJQ83824.1,1273.0
102,MT444615,USA,[21524:25346](+),3822.0,QJQ83836.1,1273.0
103,MT444616,USA,[21523:25345](+),3822.0,QJQ83848.1,1273.0
104,MT444617,USA,[21522:25344](+),3822.0,QJQ83860.1,1273.0
105,MT444618,USA,[21552:25374](+),3822.0,QJQ83872.1,1273.0
106,MT444619,USA,[21562:25384](+),3822.0,QJQ83884.1,1273.0
107,MT444620,USA,[21545:25367](+),3822.0,QJQ83896.1,1273.0
108,MT444621,USA,[21558:25380](+),3822.0,QJQ83908.1,1273.0
109,MT444622,USA,[21522:25344](+),3822.0,QJQ83920.1,1273.0
110,MT444623,USA,[21562:25384](+),3822.0,QJQ83932.1,1273.0
111,MT444624,USA,[21560:25382](+),3822.0,QJQ83944.1,1273.0
112,MT444625,USA,[21558:25380](+),3822.0,QJQ83956.1,1273.0
113,MT444626,USA,[21552:25374](+),3822.0,QJQ83968.1,1273.0
114,MT444627,USA,[21522:25344](+),3822.0,QJQ83980.1,1273.0
115,MT444628,USA,[21560:25382](+),3822.0,QJQ83992.1,1273.0
116,MT444629,USA,[21523:25345](+),3822.0,QJQ84004.1,1273.0
117,MT444630,USA,[21522:25344](+),3822.0,QJQ84016.1,1273.0
118,MT444631,USA,[21523:25345](+),3822.0,QJQ84028.1,1273.0
119,MT444632,USA,[21550:25372](+),3822.0,QJQ84040.1,1273.0
120,MT444633,USA,[21560:25382](+),3822.0,QJQ84052.1,1273.0
121,MT444634,USA,[21523:25345](+),3822.0,QJQ84064.1,1273.0
122,MT444635,USA,[21559:25381](+),3822.0,QJQ84076.1,1273.0
123,MT446312,China,[21560:25382](+),3822.0,QJQ84088.1,1273.0
124,MT446339,USA,[21503:25325](+),3822.0,QJQ84100.1,1273.0
125,MT446340,USA,[21502:25324](+),3822.0,QJQ84112.1,1273.0
126,MT446341,USA,[21502:25324](+),3822.0,QJQ84124.1,1273.0
127,MT446342,USA,[21503:25325](+),3822.0,QJQ84136.1,1273.0
128,MT446343,USA,[21522:25344](+),3822.0,QJQ84148.1,1273.0
129,MT446344,USA,[21503:25325](+),3822.0,QJQ84160.1,1273.0
130,MT446345,USA,[21503:25325](+),3822.0,QJQ84172.1,1273.0
131,MT446346,USA,[21503:25325](+),3822.0,QJQ84184.1,1273.0
132,MT446347,USA,[21503:25325](+),3822.0,QJQ84196.1,1273.0
133,MT446348,USA,[21503:25325](+),3822.0,QJQ84208.1,1273.0
134,MT446349,USA,[21502:25324](+),3822.0,QJQ84220.1,1273.0
135,MT446350,USA,[21502:25324](+),3822.0,QJQ84232.1,1273.0
137,MT446352,USA,[21503:25325](+),3822.0,QJQ84256.1,1273.0
138,MT446353,USA,[21503:25325](+),3822.0,QJQ84268.1,1273.0
139,MT446354,USA,[21502:25324](+),3822.0,QJQ84280.1,1273.0
140,MT446355,USA,[21502:25324](+),3822.0,QJQ84292.1,1273.0
141,MT446356,USA,[21503:25325](+),3822.0,QJQ84304.1,1273.0
142,MT446357,USA,[21503:25325](+),3822.0,QJQ84316.1,1273.0
143,MT446358,USA,[21502:25324](+),3822.0,QJQ84328.1,1273.0
144,MT446359,USA,[21502:25324](+),3822.0,QJQ84340.1,1273.0
145,MT446360,USA,[21212:25034](+),3822.0,QJQ84352.1,1273.0
146,MT446361,USA,[21213:25035](+),3822.0,QJQ84364.1,1273.0
147,MT447154,Thailand,[21525:25347](+),3822.0,QJQ84568.1,1273.0
148,MT447155,Thailand,[21525:25347](+),3822.0,QJQ84580.1,1273.0
149,MT447156,Thailand,[21525:25347](+),3822.0,QJQ84592.1,1273.0
150,MT447157,Thailand,[21525:25347](+),3822.0,QJQ84604.1,1273.0
151,MT447158,Thailand,[21525:25347](+),3822.0,QJQ84616.1,1273.0
152,MT447159,Thailand,[21525:25347](+),3822.0,QJQ84628.1,1273.0
153,MT447160,Thailand,[21525:25347](+),3822.0,QJQ84640.1,1273.0
154,MT447161,Thailand,[21525:25347](+),3822.0,QJQ84652.1,1273.0
155,MT447162,Thailand,[21525:25347](+),3822.0,QJQ84664.1,1273.0
156,MT447163,Thailand,[21525:25347](+),3822.0,QJQ84676.1,1273.0
157,MT447164,Thailand,[21525:25347](+),3822.0,QJQ84688.1,1273.0
158,MT447165,Thailand,[21525:25347](+),3822.0,QJQ84700.1,1273.0
159,MT447166,Thailand,[21525:25347](+),3822.0,QJQ84712.1,1273.0
160,MT447167,Thailand,[21525:25347](+),3822.0,QJQ84724.1,1273.0
161,MT447168,Thailand,[21525:25347](+),3822.0,QJQ84736.1,1273.0
162,MT447169,Thailand,[21525:25347](+),3822.0,QJQ84748.1,1273.0
163,MT447170,Thailand,[21525:25347](+),3822.0,QJQ84760.1,1273.0
164,MT447171,Thailand,[21525:25347](+),3822.0,QJQ84771.1,1273.0
165,MT447172,Thailand,[21525:25347](+),3822.0,QJQ84783.1,1273.0
166,MT447173,Thailand,[21525:25347](+),3822.0,QJQ84795.1,1273.0
167,MT447174,Thailand,[21525:25347](+),3822.0,QJQ84807.1,1273.0
168,MT447175,Thailand,[21525:25347](+),3822.0,QJQ84819.1,1273.0
169,MT447176,Thailand,[21525:25347](+),3822.0,QJQ84831.1,1273.0
170,MT447177,Iran,[21523:25345](+),3822.0,QJQ84843.1,1273.0
173,MT438718,USA,[21551:25373](+),3822.0,QJQ38360.1,1273.0
174,MT438719,USA,[21558:25380](+),3822.0,QJQ38372.1,1273.0
175,MT438720,USA,[21549:25371](+),3822.0,QJQ38384.1,1273.0
176,MT438721,USA,[21546:25368](+),3822.0,QJQ38396.1,1273.0
177,MT438722,USA,[21562:25384](+),3822.0,QJQ38408.1,1273.0
178,MT438723,USA,[21547:25369](+),3822.0,QJQ38420.1,1273.0
179,MT438724,USA,[21559:25381](+),3822.0,QJQ38432.1,1273.0
180,MT438725,USA,[21550:25372](+),3822.0,QJQ38444.1,1273.0
181,MT438726,USA,[21544:25366](+),3822.0,QJQ38456.1,1273.0
182,MT438727,USA,[21559:25381](+),3822.0,QJQ38468.1,1273.0
183,MT438728,USA,[21561:25383](+),3822.0,QJQ38480.1,1273.0
184,MT438729,USA,[21551:25373](+),3822.0,QJQ38492.1,1273.0
185,MT438730,USA,[21562:25384](+),3822.0,QJQ38504.1,1273.0
186,MT438731,USA,[21558:25380](+),3822.0,QJQ38516.1,1273.0
187,MT438732,USA,[21558:25380](+),3822.0,QJQ38528.1,1273.0
188,MT438733,USA,[21550:25372](+),3822.0,QJQ38540.1,1273.0
189,MT438734,USA,[21551:25373](+),3822.0,QJQ38552.1,1273.0
190,MT438735,USA,[21550:25372](+),3822.0,QJQ38564.1,1273.0
191,MT438736,USA,[21550:25372](+),3822.0,QJQ38576.1,1273.0
192,MT438737,USA,[21560:25382](+),3822.0,QJQ38588.1,1273.0
193,MT438738,USA,[21550:25372](+),3822.0,QJQ38600.1,1273.0
194,MT438739,USA,[21558:25380](+),3822.0,QJQ38612.1,1273.0
195,MT438740,USA,[21550:25372](+),3822.0,QJQ38624.1,1273.0
196,MT438741,USA,[21547:25369](+),3822.0,QJQ38636.1,1273.0
197,MT438742,USA,[21562:25384](+),3822.0,QJQ38648.1,1273.0
198,MT438743,USA,[21561:25383](+),3822.0,QJQ38660.1,1273.0
199,MT438744,USA,[21551:25373](+),3822.0,QJQ38672.1,1273.0
200,MT438745,USA,[21527:25349](+),3822.0,QJQ38684.1,1273.0
201,MT438746,USA,[21558:25380](+),3822.0,QJQ38696.1,1273.0
202,MT438747,USA,[21558:25380](+),3822.0,QJQ38708.1,1273.0
203,MT438748,USA,[21562:25384](+),3822.0,QJQ38720.1,1273.0
204,MT438749,USA,[21550:25372](+),3822.0,QJQ38732.1,1273.0
205,MT438750,USA,[21550:25372](+),3822.0,QJQ38744.1,1273.0
206,MT438751,USA,[21559:25381](+),3822.0,QJQ38756.1,1273.0
207,MT438752,USA,[21546:25368](+),3822.0,QJQ38768.1,1273.0
208,MT438753,USA,[21562:25384](+),3822.0,QJQ38780.1,1273.0
209,MT438754,USA,[21561:25383](+),3822.0,QJQ38792.1,1273.0
210,MT438755,USA,[21549:25371](+),3822.0,QJQ38804.1,1273.0
211,MT438756,USA,[21559:25381](+),3822.0,QJQ38816.1,1273.0
212,MT438757,USA,[21562:25384](+),3822.0,QJQ38828.1,1273.0
213,MT438758,USA,[21562:25384](+),3822.0,QJQ38840.1,1273.0
214,MT438759,USA,[21535:25357](+),3822.0,QJQ38852.1,1273.0
215,MT438760,USA,[21562:25384](+),3822.0,QJQ38864.1,1273.0
216,MT439230,USA,[21524:25346](+),3822.0,QJQ38876.1,1273.0
217,MT439231,USA,[21524:25346](+),3822.0,QJQ38888.1,1273.0
218,MT439232,USA,[21524:25346](+),3822.0,QJQ38900.1,1273.0
219,MT439233,USA,[21524:25346](+),3822.0,QJQ38912.1,1273.0
220,MT439234,USA,[21523:25345](+),3822.0,QJQ38924.1,1273.0
221,MT439235,USA,[21524:25346](+),3822.0,QJQ38936.1,1273.0
222,MT439236,USA,[21524:25346](+),3822.0,QJQ38948.1,1273.0
223,MT439237,USA,[21552:25374](+),3822.0,QJQ38960.1,1273.0
224,MT439238,USA,[21523:25345](+),3822.0,QJQ38972.1,1273.0
225,MT439239,USA,[21524:25346](+),3822.0,QJQ38984.1,1273.0
226,MT439240,USA,[21523:25345](+),3822.0,QJQ38996.1,1273.0
227,MT439241,USA,[21523:25345](+),3822.0,QJQ39008.1,1273.0
228,MT439242,USA,[21523:25345](+),3822.0,QJQ39020.1,1273.0
229,MT439243,USA,[21523:25345](+),3822.0,QJQ39032.1,1273.0
230,MT439244,USA,[21523:25345](+),3822.0,QJQ39044.1,1273.0
231,MT439245,USA,[21524:25346](+),3822.0,QJQ39056.1,1273.0
232,MT439246,USA,[21524:25346](+),3822.0,QJQ39068.1,1273.0
233,MT439247,USA,[21524:25346](+),3822.0,QJQ39080.1,1273.0
234,MT439248,USA,[21523:25345](+),3822.0,QJQ39092.1,1273.0
235,MT439249,USA,[21524:25346](+),3822.0,QJQ39104.1,1273.0
236,MT439250,USA,[21524:25346](+),3822.0,QJQ39116.1,1273.0
237,MT439251,USA,[21524:25346](+),3822.0,QJQ39128.1,1273.0
238,MT439252,USA,[21524:25346](+),3822.0,QJQ39140.1,1273.0
239,MT439253,USA,[21524:25346](+),3822.0,QJQ39152.1,1273.0
240,MT439254,USA,[21546:25368](+),3822.0,QJQ39164.1,1273.0
241,MT439255,USA,[21524:25346](+),3822.0,QJQ39176.1,1273.0
242,MT439256,USA,[21524:25346](+),3822.0,QJQ39188.1,1273.0
243,MT439257,USA,[21523:25345](+),3822.0,QJQ39200.1,1273.0
244,MT439258,USA,[21552:25374](+),3822.0,QJQ39212.1,1273.0
245,MT439259,USA,[21523:25345](+),3822.0,QJQ39224.1,1273.0
246,MT439260,USA,[21532:25354](+),3822.0,QJQ39236.1,1273.0
247,MT439261,USA,[21544:25366](+),3822.0,QJQ39248.1,1273.0
248,MT439262,USA,[21524:25346](+),3822.0,QJQ39260.1,1273.0
249,MT439263,USA,[21524:25346](+),3822.0,QJQ39272.1,1273.0
250,MT439264,USA,[21523:25345](+),3822.0,QJQ39284.1,1273.0
251,MT439265,USA,[21540:25362](+),3822.0,QJQ39296.1,1273.0
252,MT439266,USA,[21524:25346](+),3822.0,QJQ39308.1,1273.0
253,MT439267,USA,[21550:25372](+),3822.0,QJQ39320.1,1273.0
254,MT439268,USA,[21524:25346](+),3822.0,QJQ39332.1,1273.0
255,MT439269,USA,[21523:25345](+),3822.0,QJQ39344.1,1273.0
256,MT439270,USA,[21524:25346](+),3822.0,QJQ39356.1,1273.0
257,MT439271,USA,[21546:25368](+),3822.0,QJQ39368.1,1273.0
258,MT439272,USA,[21523:25345](+),3822.0,QJQ39380.1,1273.0
259,MT439273,USA,[21524:25346](+),3822.0,QJQ39392.1,1273.0
260,MT439274,USA,[21524:25346](+),3822.0,QJQ39404.1,1273.0
261,MT439275,USA,[21524:25346](+),3822.0,QJQ39416.1,1273.0
262,MT439276,USA,[21524:25346](+),3822.0,QJQ39428.1,1273.0
263,MT439277,USA,[21523:25345](+),3822.0,QJQ39440.1,1273.0
264,MT439278,USA,[21521:25343](+),3822.0,QJQ39452.1,1273.0
265,MT439279,USA,[21524:25346](+),3822.0,QJQ39464.1,1273.0
266,MT439280,USA,[21546:25368](+),3822.0,QJQ39476.1,1273.0
267,MT439281,USA,[21524:25346](+),3822.0,QJQ39488.1,1273.0
268,MT439282,USA,[21524:25346](+),3822.0,QJQ39500.1,1273.0
269,MT439283,USA,[21545:25367](+),3822.0,QJQ39512.1,1273.0
270,MT439284,USA,[21524:25346](+),3822.0,QJQ39524.1,1273.0
271,MT439285,USA,[21524:25346](+),3822.0,QJQ39536.1,1273.0
272,MT439286,USA,[21521:25343](+),3822.0,QJQ39548.1,1273.0
273,MT439287,USA,[21552:25374](+),3822.0,QJQ39560.1,1273.0
274,MT439288,USA,[21524:25346](+),3822.0,QJQ39572.1,1273.0
275,MT439289,USA,[21555:25377](+),3822.0,QJQ39584.1,1273.0
276,MT439290,USA,[21526:25348](+),3822.0,QJQ39596.1,1273.0
277,MT439291,USA,[21524:25346](+),3822.0,QJQ39608.1,1273.0
278,MT439292,USA,[21524:25346](+),3822.0,QJQ39620.1,1273.0
279,MT439293,USA,[21542:25364](+),3822.0,QJQ39632.1,1273.0
280,MT439294,USA,[21515:25337](+),3822.0,QJQ39644.1,1273.0
281,MT439295,USA,[21527:25349](+),3822.0,QJQ39656.1,1273.0
282,MT439296,USA,[21524:25346](+),3822.0,QJQ39668.1,1273.0
283,MT439297,USA,[21514:25336](+),3822.0,QJQ39680.1,1273.0
284,MT439298,USA,[21524:25346](+),3822.0,QJQ39692.1,1273.0
285,MT439299,USA,[21523:25345](+),3822.0,QJQ39704.1,1273.0
286,MT439300,USA,[21524:25346](+),3822.0,QJQ39716.1,1273.0
287,MT439301,USA,[21523:25345](+),3822.0,QJQ39728.1,1273.0
288,MT439302,USA,[21524:25346](+),3822.0,QJQ39740.1,1273.0
289,MT439303,USA,[21524:25346](+),3822.0,QJQ39752.1,1273.0
290,MT439304,USA,[21524:25346](+),3822.0,QJQ39764.1,1273.0
291,MT439305,USA,[21524:25346](+),3822.0,QJQ39776.1,1273.0
292,MT439306,USA,[21523:25345](+),3822.0,QJQ39788.1,1273.0
293,MT439307,USA,[21521:25343](+),3822.0,QJQ39800.1,1273.0
294,MT439308,USA,[21523:25345](+),3822.0,QJQ39812.1,1273.0
295,MT439309,USA,[21524:25346](+),3822.0,QJQ39824.1,1273.0
296,MT439310,USA,[21523:25345](+),3822.0,QJQ39836.1,1273.0
297,MT439311,USA,[21538:25360](+),3822.0,QJQ39848.1,1273.0
298,MT439312,USA,[21516:25338](+),3822.0,QJQ39860.1,1273.0
299,MT439313,USA,[21524:25346](+),3822.0,QJQ39872.1,1273.0
300,MT439314,USA,[21523:25345](+),3822.0,QJQ39884.1,1273.0
301,MT439315,USA,[21524:25346](+),3822.0,QJQ39896.1,1273.0
302,MT439316,USA,[21524:25346](+),3822.0,QJQ39908.1,1273.0
303,MT439317,USA,[21524:25346](+),3822.0,QJQ39920.1,1273.0
304,MT439318,USA,[21523:25345](+),3822.0,QJQ39932.1,1273.0
305,MT439319,USA,[21524:25346](+),3822.0,QJQ39944.1,1273.0
306,MT439320,USA,[21532:25354](+),3822.0,QJQ39956.1,1273.0
307,MT439595,India,[21533:25355](+),3822.0,QJQ39968.1,1273.0
308,MT439596,India,[21532:25354](+),3822.0,QJQ39980.1,1273.0
309,MT439597,India,[21532:25354](+),3822.0,QJQ39992.1,1273.0
310,MT434757,India,[21532:25354](+),3822.0,QJQ27842.1,1273.0
311,MT434758,India,[21532:25354](+),3822.0,QJQ27854.1,1273.0
312,MT434759,India,[21532:25354](+),3822.0,QJQ27866.1,1273.0
313,MT434760,India,[21534:25356](+),3822.0,QJQ27878.1,1273.0
314,MT434782,USA,[21562:25384](+),3822.0,QJQ27901.1,1273.0
315,MT434783,USA,[21562:25384](+),3822.0,QJQ27913.1,1273.0
316,MT434784,USA,[21562:25384](+),3822.0,QJQ27925.1,1273.0
317,MT434785,USA,[21562:25384](+),3822.0,QJQ27937.1,1273.0
318,MT434786,USA,[21562:25384](+),3822.0,QJQ27949.1,1273.0
319,MT434787,USA,[21562:25384](+),3822.0,QJQ27961.1,1273.0
320,MT434788,USA,[21562:25384](+),3822.0,QJQ27973.1,1273.0
321,MT434789,USA,[21562:25384](+),3822.0,QJQ27985.1,1273.0
322,MT434790,USA,[21562:25384](+),3822.0,QJQ27997.1,1273.0
323,MT434791,USA,[21562:25384](+),3822.0,QJQ28009.1,1273.0
324,MT434792,USA,[21562:25384](+),3822.0,QJQ28021.1,1273.0
325,MT434793,USA,[21562:25384](+),3822.0,QJQ28033.1,1273.0
326,MT434794,USA,[21562:25384](+),3822.0,QJQ28045.1,1273.0
327,MT434795,USA,[21562:25384](+),3822.0,QJQ28057.1,1273.0
328,MT434796,USA,[21562:25384](+),3822.0,QJQ28069.1,1273.0
329,MT434797,USA,[21562:25384](+),3822.0,QJQ28081.1,1273.0
330,MT434798,USA,[21562:25384](+),3822.0,QJQ28093.1,1273.0
331,MT434799,USA,[21562:25384](+),3822.0,QJQ28105.1,1273.0
332,MT434800,USA,[21562:25384](+),3822.0,QJQ28117.1,1273.0
333,MT434801,USA,[21562:25384](+),3822.0,QJQ28129.1,1273.0
334,MT434802,USA,[21562:25384](+),3822.0,QJQ28141.1,1273.0
335,MT434803,USA,[21562:25384](+),3822.0,QJQ28153.1,1273.0
336,MT434804,USA,[21562:25384](+),3822.0,QJQ28165.1,1273.0
337,MT434805,USA,[21562:25384](+),3822.0,QJQ28177.1,1273.0
338,MT434806,USA,[21562:25384](+),3822.0,QJQ28189.1,1273.0
339,MT434807,USA,[21562:25384](+),3822.0,QJQ28201.1,1273.0
340,MT434808,USA,[21562:25384](+),3822.0,QJQ28213.1,1273.0
341,MT434809,USA,[21562:25384](+),3822.0,QJQ28225.1,1273.0
342,MT434810,USA,[21562:25384](+),3822.0,QJQ28237.1,1273.0
343,MT434811,USA,[21562:25384](+),3822.0,QJQ28249.1,1273.0
344,MT434812,USA,[21562:25384](+),3822.0,QJQ28261.1,1273.0
345,MT434813,USA,[21562:25384](+),3822.0,QJQ28273.1,1273.0
346,MT434814,USA,[21562:25384](+),3822.0,QJQ28285.1,1273.0
347,MT434815,USA,[21562:25384](+),3822.0,QJQ28297.1,1273.0
348,MT434816,USA,[21559:25381](+),3822.0,QJQ28309.1,1273.0
349,MT434817,USA,[21553:25375](+),3822.0,QJQ28321.1,1273.0
350,MT434818,Serbia,[0:3822](+),3822.0,QJQ28331.1,1273.0
351,MT435079,India,[21520:25342](+),3822.0,QJQ28345.1,1273.0
352,MT435080,India,[21520:25342](+),3822.0,QJQ28357.1,1273.0
353,MT435081,India,[21520:25342](+),3822.0,QJQ28369.1,1273.0
354,MT435082,India,[21520:25342](+),3822.0,QJQ28381.1,1273.0
355,MT435083,India,[21520:25342](+),3822.0,QJQ28393.1,1273.0
356,MT435084,India,[21520:25342](+),3822.0,QJQ28405.1,1273.0
357,MT435085,India,[21520:25342](+),3822.0,QJQ28417.1,1273.0
358,MT435086,India,[21520:25342](+),3822.0,QJQ28429.1,1273.0
359,MT365028,Hong Kong,[21562:25384](+),3822.0,QJD07628.1,1273.0
360,MT365029,Hong Kong,[21562:25384](+),3822.0,QJD07640.1,1273.0
361,MT365030,Hong Kong,[21562:25384](+),3822.0,QJD07652.1,1273.0
362,MT365031,Hong Kong,[21562:25384](+),3822.0,QJD07664.1,1273.0
363,MT365032,Hong Kong,[21558:25380](+),3822.0,QJD07676.1,1273.0
364,MT428551,Kazakhstan,[21559:25381](+),3822.0,QJQ04445.1,1273.0
365,MT428552,Kazakhstan,[21562:25384](+),3822.0,QJQ04457.1,1273.0
366,MT428553,Kazakhstan,[21562:25384](+),3822.0,QJQ04469.1,1273.0
367,MT428554,Kazakhstan,[21562:25384](+),3822.0,QJQ04481.1,1273.0
369,MT429183,USA,[21508:25330](+),3822.0,QJQ04256.1,1273.0
370,MT429184,USA,[21508:25330](+),3822.0,QJQ04268.1,1273.0
