,Metabolit,Part,Molecular Formula,Molecular Weight,CID Kanaya,CID Pubchem,Canonical SMILES,Referensi  Antivirus,Referensi  Antimalaria/Antiplasmodium,Referensi  Treatment Meningitis,enumerator,species,CID PubChem,Referensi,Akar,Batang,Daun,Bunga,Buah,Referensi kandungan,Referensi Kandungan,Biji,Essential oil,Cabang,sinonim,Referensi 1,Referensi 2,referensi 3 (part),Sinonim,Referensi 1 (Metabolite),Referensi 2 ,Referensi 3,Referensi 1 (metabolit),"Referensi 2 (3D, Smiles)"
22,Borassoside C,,C45H72O18,900.4718655,C00029840,,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC19C(CC(CO9)CO)O,,,,Adnan (MA),Borassus flabellifer,102155845,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00029840, https://pubchem.ncbi.nlm.nih.gov/compound/102155845",,,,,,,,,,,,,,,,,,,,
23,Borassoside D,,C39H62O12,722.42412745,C00029841,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,70685993,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00029841, https://pubchem.ncbi.nlm.nih.gov/compound/70685993 ",,,,,,,,,,,,,,,,,,,,
24,Borassoside E,,C45H72O16,868.48203625,C00029842,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,16204181 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00029842, https://pubchem.ncbi.nlm.nih.gov/compound/16204181",,,,,,,,,,,,,,,,,,,,
25,Borassoside F,,C51H82O20,1014.53994506,C00029843,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)C)O)O)O)O)O)O)OC2C(C(C(C(O2)C)O)O)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,16204183 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00029843, https://pubchem.ncbi.nlm.nih.gov/compound/16204183",,,,,,,,,,,,,,,,,,,,
26,Diosgenin 3-O-alpha-L-rhamnopyranosyl(1->2)-beta-D-glucopyranoside,,C39H62O12,722.42412745,C00030140,,,,,,Adnan (MA),Borassus flabellifer,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00030140,,,,,,,,,,,,,,,,,,,,
27,Diosgenin 3-O-beta-D-glucopyranoside,,C33H52O8,576.36621864,C00030141,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,11827970,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00030141, https://pubchem.ncbi.nlm.nih.gov/compound/Disogluside",,,,,,,,,,,,,,,,,,,,
28,22-O-Methylprotodioscin,,C52H86O22,1062.56107443,C00030764,,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)OC,,,,Adnan (MA),Borassus flabellifer,11263254,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00030764, https://pubchem.ncbi.nlm.nih.gov/compound/11263254",,,,,,,,,,,,,,,,,,,,
29,Methyl protoneodioscin,,C52H86O22,1062.56107443,C00030766,,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)OC,,,,Adnan (MA),Borassus flabellifer,6712586,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00030766, https://pubchem.ncbi.nlm.nih.gov/compound/Methylprotoneodioscin",,,,,,,,,,,,,,,,,,,,
30,Pseudoprotodioscin,,C51H82O21,1030.53485968,C00031101,,CC1C(C(C(C(O1)OC2C(OC(C(C2O)OC3C(C(C(C(O3)C)O)O)O)OC4CCC5(C6CCC7(C(C6CC=C5C4)CC8C7C(=C(O8)CCC(C)COC9C(C(C(C(O9)CO)O)O)O)C)C)C)CO)O)O)O,,,,Adnan (MA),Borassus flabellifer,21637110 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00031101, https://pubchem.ncbi.nlm.nih.gov/compound/Pseudoprotodioscin",,,,,,,,,,,,,,,,,,,,
31,Pseudoprotoneodioscin,,C51H82O21,1030.53485968,C00031103,,,,,,Adnan (MA),Borassus flabellifer,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00031103,,,,,,,,,,,,,,,,,,,,
32,Yamogenin 3-O-alpha-L-rhamnopyranosyl(1->4)-alpha-L-rhamnopyranosyl(1->2)-beta-D-glucopyranoside,,C45H72O16,868.48203625,C00032538,,,,,,Adnan (MA),Borassus flabellifer,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00032538,,,,,,,,,,,,,,,,,,,,
33,Yamogenin 3-O-alpha-L-rhamnopyranosyl(1->4)-beta-D-glucopyranoside,,C39H62O12,722.42412745,C00032539,,,,,,Adnan (MA),Borassus flabellifer,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00032539,,,,,,,,,,,,,,,,,,,,
34,Yamogenin 3-O-beta-D-glucopyranoside,,C33H52O8,576.36621864,C00032540,,,,,,Adnan (MA),Borassus flabellifer,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00032540,,,,,,,,,,,,,,,,,,,,
35,trans-Zeatin,,C10H13N5O,219.11201007,C00000091,,CC(=CCNC1=NC=NC2=C1NC=N2)CO,,,,Adnan (MA),1409. Cocos nucifera,449093 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00000091, https://pubchem.ncbi.nlm.nih.gov/compound/trans-zeatin",,,,,,,,,,,,,,,,,,,,
36,9-Ribosyl-trans-zeatin,,C15H21N5O5,351.15426882,C00000096,,CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)CO,,,,Adnan (MA),1409. Cocos nucifera,5375662,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00000096, https://pubchem.ncbi.nlm.nih.gov/compound/9-_beta-D-Ribofuranosyl_zeatin",,,,,,,,,,,,,,,,,,,,
37,D-Glucitol,,C6H14O6,182.07903818,C00001173,,C(C(C(C(C(CO)O)O)O)O)O,,,,Adnan (MA),1409. Cocos nucifera,5780,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001173, https://pubchem.ncbi.nlm.nih.gov/compound/Sorbitol",,,,,,,,,,,,,,,,,,,,
38,Decanoic acid,,C10H20O2,172.14632988,C00001213,,CCCCCCCCCC(=O)O,,,,Adnan (MA),1409. Cocos nucifera,2969,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001213, https://pubchem.ncbi.nlm.nih.gov/compound/Decanoic-acid",,,,,,,,,,,,,,,,,,,,
39,Caproic acid,,C6H12O2,116.08372963,C00001218,,CCCCCC(=O)O,,,,Adnan (MA),1409. Cocos nucifera,8892,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001218, https://pubchem.ncbi.nlm.nih.gov/compound/Hexanoic-acid",,,,,,,,,,,,,,,,,,,,
40,Lauric acid,,C12H24O2,200.17763001,C00001221,,CCCCCCCCCCCC(=O)O,,,,Adnan (MA),1409. Cocos nucifera,3893,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001221, https://pubchem.ncbi.nlm.nih.gov/compound/Lauric-acid",,,,,,,,,,,,,,,,,,,,
41,Caprylic acid,,C8H16O2,144.11502975,C00001231,,CCCCCCCC(=O)O,,,,Adnan (MA),1409. Cocos nucifera,379,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001231, https://pubchem.ncbi.nlm.nih.gov/compound/Octanoic-acid",,,,,,,,,,,,,,,,,,,,
42,gamma-Nonalactone,,C9H16O2,156.11502975,C00001318,,CCCCCC1CCC(=O)O1,,,,Adnan (MA),1409. Cocos nucifera,7710 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001318, https://pubchem.ncbi.nlm.nih.gov/compound/gamma-nonanoic%20lactone",,,,,,,,,,,,,,,,,,,,
43,Fucosterol,,C29H48O,412.37051615,C00003653,,CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,,,,Adnan (MA),1409. Cocos nucifera,5281326 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003653, https://pubchem.ncbi.nlm.nih.gov/compound/Fucosterol",,,,,,,,,,,,,,,,,,,,
44,Spinasterol,,C29H48O,412.37051615,C00003673,,CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C)C(C)C,,,,Adnan (MA),1409. Cocos nucifera,5281331 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003673, https://pubchem.ncbi.nlm.nih.gov/compound/alpha-Spinasterol",,,,,,,,,,,,,,,,,,,,
45,Stigmasterol,,C29H48O,412.37051615,C00003674,,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,,,,Adnan (MA),1409. Cocos nucifera,5280794,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003674, https://pubchem.ncbi.nlm.nih.gov/compound/Stigmasterol",,,,,,,,,,,,,,,,,,,,
46,delta-Tocopherol,,C27H46O2,402.34978071,C00007363,,CC1=CC(=CC2=C1OC(CC2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O,,,,Adnan (MA),1409. Cocos nucifera,5282350 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00007363, https://pubchem.ncbi.nlm.nih.gov/compound/delta-Tocotrienol",,,,,,,,,,,,,,,,,,,,
47,beta-Tocopherol,,C28H48O2,416.36543078,C00007364,,CC1=CC(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,,,,Adnan (MA),1409. Cocos nucifera,6857447,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00007364, https://pubchem.ncbi.nlm.nih.gov/compound/beta-tocopherol",,,,,,,,,,,,,,,,,,,,
48,gamma-Tocopherol,,C28H48O2,416.36543078,C00007365,,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,,,,Adnan (MA),1409. Cocos nucifera,92729,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00007365, https://pubchem.ncbi.nlm.nih.gov/compound/gamma-Tocopherol",,,,,,,,,,,,,,,,,,,,
49,alpha-Tocopherol,,C29H50O2,430.38108084,C00007366,,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,,,,Adnan (MA),1409. Cocos nucifera,1742129 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00007366, https://pubchem.ncbi.nlm.nih.gov/compound/alpha-Tocopherol",,,,,,,,,,,,,,,,,,,,
50,alpha-Tocotrienol,,C29H44O2,424.33413065,C00035044,,CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C,,,,Adnan (MA),1409. Cocos nucifera,5282347 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00035044, https://pubchem.ncbi.nlm.nih.gov/compound/alpha-Tocotrienol",,,,,,,,,,,,,,,,,,,,
51,beta-Tocotrienol,,C28H42O2,410.31848058,C00035060,,CC1=CC(=C(C2=C1OC(CC2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C)O,,,,Adnan (MA),1409. Cocos nucifera,5282348 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00035060, https://pubchem.ncbi.nlm.nih.gov/compound/beta-Tocotrienol",,,,,,,,,,,,,,,,,,,,
52,delta-Tocotrienol,,C27H40O2,396.30283052,C00035077,,CC1=CC(=CC2=C1OC(CC2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O,,,,Adnan (MA),1409. Cocos nucifera,5282350 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00035077, https://pubchem.ncbi.nlm.nih.gov/compound/delta-Tocotrienol",,,,,,,,,,,,,,,,,,,,
53,gamma-Tocotrienol,,C28H42O2,410.31848058,C00035101,,CC1=C(C=C2CCC(OC2=C1C)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O,,,,Adnan (MA),1409. Cocos nucifera,5282349 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00035101, https://pubchem.ncbi.nlm.nih.gov/compound/gamma-Tocotrienol",,,,,,,,,,,,,,,,,,,,
54,2-Pentadecanone,,C15H30O,226.22966558,C00036262,,CCCCCCCCCCCCCC(=O)C,,,,Adnan (MA),1409. Cocos nucifera,61303,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00036262, https://pubchem.ncbi.nlm.nih.gov/compound/2-Pentadecanone",,,,,,,,,,,,,,,,,,,,
55,ent-Epicatechin-(4alpha->8)-catechin,,C30H26O12,578.1424263,C00009078,,,,,,Adnan (MA),1449. Metroxylon sagu,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00009078,,,,,,,,,,,,,,,,,,,,
56,ent-Epicatechin-(4alpha->8)-ent-epicatechin,,C30H26O12,578.1424263,C00009080,,,,,,Adnan (MA),1449. Metroxylon sagu,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00009080,,,,,,,,,,,,,,,,,,,,
57,D-(-)-fructofuranose,fruit peel,C6H12O6 ,180.16 ,,,C(C1C(C(C(O1)(CO)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,439163 ,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/D-fructofuranose",,,,,,,,,,,,,,,,,,,,
58,L-sorbopyranose,fruit peel,C6H12O6 ,180.16 ,,,C1C(C(C(C(O1)(CO)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,441484 ,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/alpha-L-Sorbopyranose",,,,,,,,,,,,,,,,,,,,
59,D-fructose,fruit peel,C6H12O6,180.16 ,,,C1C(C(C(C(O1)(CO)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,2723872,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/D-fructopyranose",,,,,,,,,,,,,,,,,,,,
60,D-(-)-tagatose,fruit peel,C6H12O6,180.16 ,,,C1C(C(C(C(O1)(CO)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,439312,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/D-Tagatose",,,,,,,,,,,,,,,,,,,,
61,a-D-glucopyranose,fruit peel,C6H12O6,180.16 ,,,C(C1C(C(C(C(O1)O)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,79025,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/alpha-D-Glucose",,,,,,,,,,,,,,,,,,,,
62,d-mannose,fruit peel,C6H12O6,180.16 ,,,C(C1C(C(C(C(O1)O)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,18950 ,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/D-Mannose",,,,,,,,,,,,,,,,,,,,
63,b-D-glucopyranose,fruit peel,C6H12O6,180.16 ,,,C(C1C(C(C(C(O1)O)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,64689,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/beta-D-Glucose",,,,,,,,,,,,,,,,,,,,
64,d-glucitol,fruit peel,C6H14O6,182.17 ,,,C(C(C(C(C(CO)O)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,5780,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/Sorbitol",,,,,,,,,,,,,,,,,,,,
65,gallic acid,fruit peel,C7H6O5 ,170.12 ,,,C1=C(C=C(C(=C1O)O)O)C(=O)O,,,,Adnan (MA),1513. Salacca zalacca,370,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/Gallic-acid",,,,,,,,,,,,,,,,,,,,
66,galactopyranose,fruit peel,C6H12O6,180.16 ,,,C(C1C(C(C(C(O1)O)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,6036 ,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/D-Galactose",,,,,,,,,,,,,,,,,,,,
67,palmitic acid,fruit peel,C16H32O2,256.42 ,,,CCCCCCCCCCCCCCCC(=O)O,,,,Adnan (MA),1513. Salacca zalacca,985,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/Palmitic-acid",,,,,,,,,,,,,,,,,,,,
68,myo-inositol,fruit peel,C6H12O6,180.16 ,,,C1(C(C(C(C(C1O)O)O)O)O)O,,,,Adnan (MA),1513. Salacca zalacca,892,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/Inositol",,,,,,,,,,,,,,,,,,,,
69,heptadecanoic acid,fruit peel,C17H34O2,270.5 ,,,CCCCCCCCCCCCCCCCC(=O)O,,,,Adnan (MA),1513. Salacca zalacca,10465,http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh,,,,,,,,,,,,,,,,,,,,
70,linoelaidic acid,fruit peel,C18H32O2,280.4 ,,,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,Adnan (MA),1513. Salacca zalacca,5282457,"http://www.phcogres.com/article.asp?issn=0974-8490;year=2018;volume=10;issue=4;spage=385;epage=390;aulast=Saleh, https://pubchem.ncbi.nlm.nih.gov/compound/Linoelaidic-acid",,,,,,,,,,,,,,,,,,,,
