,enumerator,family,family_2,misc1,misc2,misc3,file,path
49,Yustika Sari (YS),Campanulaceae,013-Hippobroma longiflora,,,,Conformer3D_CID_12311086.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Campanulaceae/013-Hippobroma longiflora/Conformer3D_CID_12311086.sdf
50,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_3314.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_3314.sdf
51,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_71448963.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_71448963.sdf
52,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_71448965.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_71448965.sdf
53,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_5322012.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_5322012.sdf
54,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_15086398.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_15086398.sdf
55,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_5280666.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_5280666.sdf
56,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_5570.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_5570.sdf
57,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_442846.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_442846.sdf
58,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_30219.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_30219.sdf
59,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_644019.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_644019.sdf
60,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_160570.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_160570.sdf
61,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_16078.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_16078.sdf
62,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_185914.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_185914.sdf
63,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_10071695.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_10071695.sdf
64,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_403815.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_403815.sdf
65,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_10382485.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_10382485.sdf
66,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_44259426.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_44259426.sdf
67,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_44257872.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_44257872.sdf
68,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_44257930.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_44257930.sdf
69,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_44257973.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_44257973.sdf
70,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_5280641.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_5280641.sdf
71,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_22310.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_22310.sdf
72,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_10106.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_10106.sdf
73,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_10014709.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_10014709.sdf
74,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_194174.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_194174.sdf
75,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_194174-2.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_194174-2.sdf
76,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_90475437.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_90475437.sdf
77,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_101176447.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_101176447.sdf
78,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_6442194.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_6442194.sdf
79,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_6449999.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_6449999.sdf
80,Yustika Sari (YS),Cannabaceae,014-Cannabis sativa,,,,Conformer3D_CID_44241652.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cannabaceae/014-Cannabis sativa/Conformer3D_CID_44241652.sdf
81,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_21600408.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_21600408.sdf
82,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_5281134.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_5281134.sdf
83,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_44259089.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_44259089.sdf
84,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_9601115.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_9601115.sdf
85,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_42607907.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_42607907.sdf
86,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_42607916.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_42607916.sdf
87,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_42607967.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_42607967.sdf
88,Yustika Sari (YS),Capparaceae,018-Cleome viscosa,,,,Conformer3D_CID_13965876.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Capparaceae/018-Cleome viscosa/Conformer3D_CID_13965876.sdf
89,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_5280379.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_5280379.sdf
90,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_439551.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_439551.sdf
91,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_5281235.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_5281235.sdf
92,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_5459879.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_5459879.sdf
93,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_196.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_196.sdf
94,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_442630.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_442630.sdf
95,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_146167.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_146167.sdf
96,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_5281223.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_5281223.sdf
97,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_5281231.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_5281231.sdf
98,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_5281246.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_5281246.sdf
99,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_448438.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_448438.sdf
100,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_9548605.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_9548605.sdf
101,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_12763.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_12763.sdf
102,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_2346.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_2346.sdf
103,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_3776.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_3776.sdf
104,Yustika Sari (YS),Caricaceae,022-Carica papaya,,,,Conformer3D_CID_11579.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caricaceae/022-Carica papaya/Conformer3D_CID_11579.sdf
105,Yustika Sari (YS),Caryophyllaceae,023-Dianthus caryophyllus,,,,Conformer3D_CID_5281168.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caryophyllaceae/023-Dianthus caryophyllus/Conformer3D_CID_5281168.sdf
